,Code,Class,Family,Genus,Species,Alien,Ash_12_L,Ash_25_L,Akh_12_L,Akh_20_L,Ash_12_D,Ash_25_D,Akh_12_D,Akh_20_D
1,B002,Bivalvia,Donacidae,Donax,semistriatus,No,0,0,0,0,22,6,0,1
2,B004,Bivalvia,Corbulidae,Corbula,gibba,No,0,2,0,0,3,114,0,3
3,B005,Bivalvia,Semelidae,Abra,alba,No,19,116,0,14,1,22,0,0
4,B006,Bivalvia,Thraciidae,Thracia,phaseolina,No,0,0,0,0,0,1,0,0
5,B007,Bivalvia,Ungulinidae,Transkeia,bogii,Yes,4,0,0,1,0,0,0,0
6,B009,Bivalvia,Lucinidae,Rugalucina,angela,Yes,1,0,0,0,0,0,0,0
7,B011,Bivalvia,Mytilidae,Modiolus,sp. 1,Unknown,9962,12810,675,68,356,68,7,5
8,B013,Bivalvia,Veneridae,Dosinia,lupinus,No,0,0,0,0,2,2,0,2
9,B014,Bivalvia,Lasaeidae,Tellimya,ferruginosa,No,0,0,0,0,0,1,0,0
10,B016,Bivalvia,Nuculanidae,Lembulus,pella,No,0,0,0,0,0,27,0,9
11,B018,Bivalvia,Nuculidae,Nucula,nitidosa,No,0,0,0,0,0,6,0,3
12,B019,Bivalvia,Veneridae,Venus,verrucosa,No,38,105,0,2,0,0,0,3
13,B020,Bivalvia,Lucinidae,Loripes,orbiculatus,No,0,0,0,0,5,2,0,0
14,B022,Bivalvia,Veneridae,Pitar,rudis,No,0,0,0,0,0,7,0,0
15,B023,Bivalvia,Lucinidae,Lucinella,divaricata,No,0,0,0,0,1,6,0,1
16,B028,Bivalvia,Gastrochaenidae,Rocellaria,dubia,No,0,1,1,0,0,0,0,0
17,B029,Bivalvia,Gastrochaenidae,Cucurbitula,cymbium,Yes,0,24,0,0,0,1,0,0
18,B030,Bivalvia,Cardiidae,Fulvia,fragilis,Yes,1,1,0,0,0,1,0,0
19,B031,Bivalvia,Kelliellidae,Alveinus,miliaceus,Yes,2,2,0,0,0,1,0,0
20,B033,Bivalvia,Mytilidae,Musculus,subpictus,No,10,111,13,1,2,1,0,1
21,B036,Bivalvia,Cardiidae,Acanthocardia,paucicostata,No,0,0,0,0,0,3,0,0
22,B038,Bivalvia,Semelidae,Abra,nitida,No,0,0,0,0,0,1,0,0
23,B040,Bivalvia,Arcidae,Anadara,gibbosa,No,0,0,0,0,0,8,0,0
24,B045,Bivalvia,Veneridae,Gouldia,minima,No,0,0,0,0,0,1,0,0
25,B046,Bivalvia,Veneridae,Chamelea,gallina,No,0,0,0,0,16,10,0,5
26,B048,Bivalvia,Solecurtidae,Azorinus,chamasolen,No,0,0,0,0,0,1,0,0
27,B049,Bivalvia,Carditidae,Glans,trapezia,No,0,0,0,4,0,1,1,13
28,B052,Bivalvia,Tellinidae,Moerella,donacina,No,0,0,0,0,1,1,0,3
29,B055,Bivalvia,Noetiidae,Striarca,lactea,No,19,657,76,274,1,6,14,20
30,B058,Bivalvia,Mytilidae,Gregariella,petagnae,No,0,0,0,0,5,0,0,0
31,B060,Bivalvia,Mytilidae,Gregariella,semigranata,No,118,2085,239,112,6,14,7,6
32,B061,Bivalvia,Myidae,Sphenia,binghami,No,52,1460,12,29,6,7,0,3
33,B064,Bivalvia,Glycymerididae,Glycymeris,nummaria,No,0,0,0,0,30,1,0,2
34,B065,Bivalvia,Chamidae,Pseudochama,gryphina,No,0,1,0,0,0,0,0,0
35,B066,Bivalvia,Chamidae,Chama,gryphoides,No,0,4,8,16,1,5,7,4
36,B068,Bivalvia,Lucinidae,Loripinus,fragilis,No,0,0,0,0,0,1,0,0
37,B071,Bivalvia,Pectinidae,Mimachlamys,varia,No,0,0,0,0,0,1,0,1
38,B074,Bivalvia,Cardiidae,Papillicardium,papillosum,No,0,11,0,0,0,1,0,0
39,B077,Bivalvia,Tellinidae,Moerella,distorta,No,0,0,0,0,0,3,0,1
40,B078,Bivalvia,Pteriidae,Pinctada,imbricata radiata,Yes,0,1,47,24,1,1,1,0
41,B085,Bivalvia,Lasaeidae,Scacchia,oblonga,No,0,0,0,0,0,1,0,1
42,B088,Bivalvia,Lucinidae,Ctena,decussata,No,0,0,5,6,0,0,1,3
43,B090,Bivalvia,Cardiidae,Cerastoderma,glaucum,No,0,0,0,0,3,1,0,0
44,B094,Bivalvia,Veneridae,Gouldiopa,consternans,Yes,1,5,0,2,0,2,0,0
45,B121,Bivalvia,Tellinidae,Fabulina,fabula,No,0,0,0,0,0,0,0,1
46,B123,Bivalvia,Cardiidae,Parvicardium,scriptum,No,0,0,0,0,2,0,0,2
47,B124,Bivalvia,Mytilidae,Brachidontes,pharaonis,Yes,135,2,5,1,37,0,1,0
48,B125,Bivalvia,Mytilidae,Musculus,costulatus,No,9,4,61,20,2,0,0,1
49,B128,Bivalvia,Mytilidae,Mytilaster,minimus,No,0,0,0,6,87,0,0,0
50,B129,Bivalvia,Lasaeidae,Kurtiella,sp.,Unknown,0,0,0,0,0,1,0,0
51,B130,Bivalvia,Lucinidae,Lucinella,sp.,Yes,0,0,0,0,1,0,0,0
52,B132,Bivalvia,Mytilidae,Septifer,cumingii,Yes,221,387,1995,1310,14,4,92,79
53,B139,Bivalvia,Arcidae,Barbatia,barbata,No,0,0,0,3,0,1,0,1
54,B141,Bivalvia,Mytilidae,Modiolula,phaseolina,No,0,0,0,0,0,0,0,2
55,B143,Bivalvia,Pectinidae,Flexopecten,hyalinus,No,0,0,1,0,0,0,0,0
56,B147,Bivalvia,Carditidae,Cardites,antiquatus,No,0,0,0,0,0,0,0,1
57,B148,Bivalvia,Tellinidae,Arcopella,balaustina,No,0,0,0,1,0,0,0,0
58,B150,Bivalvia,Cardiidae,Parvicardium,trapezium,No,0,0,0,1,0,0,0,2
59,B152,Bivalvia,Limidae,Lima,lima,No,0,0,0,0,0,0,0,1
60,B154,Bivalvia,Limidae,Limaria,hians,No,1,8,9,3,0,0,0,0
61,B157,Bivalvia,Chamidae,Chama,asperella,Yes,3,238,90,99,0,0,9,2
62,B161,Bivalvia,Carditidae,Cardita,calyculata,No,0,0,0,0,0,0,1,0
63,B163,Bivalvia,Cardiidae,Afrocardium,richardi,Yes,0,4,5,7,0,0,0,0
64,B167,Bivalvia,Lucinidae,Megaxinus,unguiculinus,No,0,0,0,0,0,0,0,1
65,B172,Bivalvia,Mytilidae,Lithophaga,lithophaga,No,0,9,10,4,0,0,0,0
66,B173,Bivalvia,Tellinidae,Peronidia,albicans,No,0,0,0,0,0,0,0,1
67,B182,Bivalvia,Mactridae,Spisula,subtruncata,No,0,0,0,0,0,5,0,0
68,B186,Bivalvia,Mactridae,Mactra,stultorum,No,0,0,0,0,1,1,0,0
69,B188,Bivalvia,Veneridae,Lajonkairia,lajonkairii,No,0,0,0,0,0,0,1,0
70,B191,Bivalvia,Ostreidae,Alectryonella,plicatula,Yes,20,76,36,29,19,17,9,2
71,B192,Bivalvia,Galeommatidae,Nudiscintilla,glabra,Yes,0,0,1,2,0,0,0,0
72,B203,Bivalvia,Pteriidae,Isognomon,legumen,Yes,1,0,0,0,0,0,0,0
73,B208,Bivalvia,Malleidae,Malleus,regula,Yes,46,117,41,8,4,2,6,3
74,B212,Bivalvia,Spondylidae,Spondylus,spinosus,Yes,0,0,0,1,0,0,0,0
75,B213,Bivalvia,Spondylidae,Spondylus,nicobaricus,Yes,0,0,1,2,0,0,0,1
76,B215,Bivalvia,Myidae,Sphenia,rueppellii,Yes,1,2,2,2,1,0,0,0
77,B216,Bivalvia,Chamidae,Chama,pacifica,Yes,0,2,7,15,0,0,0,0
78,B225,Bivalvia,Veneridae,Gafrarium,pectinatum,Yes,5,0,1,0,0,0,0,0
79,B227,Bivalvia,Veneridae,Costellipitar,chordatus,Yes,0,5,0,0,0,7,0,0
80,B229,Bivalvia,Veneridae,Timoclea,marica,Yes,0,0,0,0,0,2,0,0
81,B232,Bivalvia,Mytilidae,Arcuatula,senhousia,Yes,6,0,0,0,1,0,0,0
82,B266,Bivalvia,Pectinidae,Aequipecten,opercularis,No,0,1,0,0,0,0,0,0
83,B269,Bivalvia,Anomiidae,Anomia,ephippium,No,0,0,0,0,2,0,0,0
84,B273,Bivalvia,Tellinidae,Peronaea,planata,No,0,0,0,0,1,1,0,0
85,B306,Bivalvia,Cardiidae,Acanthocardia,echinata,No,0,0,0,0,0,0,0,1
86,B321,Bivalvia,Lasaeidae,Hemilepton,nitidum,No,1,1,1,0,1,3,0,0
87,B341,Bivalvia,Pectinidae,Pecten,jacobaeus,No,0,0,0,0,0,1,0,0
88,B345,Bivalvia,Pholadidae,Pholas,dactylus,No,0,1,0,0,0,0,0,0
89,B453,Bivalvia,Tellinidae,Macomopsis,cumana,No,0,0,0,0,1,1,0,0
90,B460,Bivalvia,Veneridae,Dosinia,exoleta,No,0,0,0,0,0,0,0,1
91,B469,Bivalvia,Bivalvia,Bivalvia,Israel hard substrate sp. 1,Unknown,0,0,0,0,0,1,0,0
92,B470,Bivalvia,Spondylidae,Spondylus,Israel sp. 1,Unknown,0,0,0,0,0,0,1,0
93,B471,Bivalvia,Mytilidae,Gregariella,sp.,Unknown,2,0,0,0,0,0,0,0
94,B473,Bivalvia,Bivalvia,Bivalvia,sp.,Unknown,0,0,0,1,0,0,0,0
95,B481,Bivalvia,Mytilidae,Musculus,aff viridulus,Yes,0,16,27,11,0,0,0,0
96,B482,Bivalvia,Mytilidae,Musculus,aff coenobitus,Yes,0,0,6,0,0,0,0,0
97,G001,Gastropoda,Scaliolidae,Finella,pupoides,Yes,0,0,0,0,0,2,1,0
98,G002,Gastropoda,Cerithiidae,Rhinoclavis,kochi,Yes,23,0,0,0,40,1,0,19
99,G004,Gastropoda,Pyramidellidae,Syrnola,fasciata,Yes,2,0,0,3,0,3,0,0
100,G005,Gastropoda,Cerithiidae,Varicopeza,pauxilla,Yes,0,0,0,0,0,3,0,0
101,G007,Gastropoda,Retusidae,Pyrunculus,fourierii,Yes,68,14,1,65,0,0,0,5
102,G008,Gastropoda,Pyramidellidae,Pyrgulina,pupaeformis,Yes,41,0,243,28,2,0,0,3
103,G009,Gastropoda,Cerithiidae,Cerithidium,diplax,Yes,49,0,317,856,5,12,10,48
104,G010,Gastropoda,Pyramidellidae,Parthenina,interstincta,No,0,0,0,0,0,0,0,1
105,G013,Gastropoda,Mangeliidae,Bela,zonata,No,0,0,0,0,2,0,0,0
106,G015,Gastropoda,Nassariidae,Tritia,pygmaea,No,0,0,0,0,10,37,0,8
107,G017,Gastropoda,Cerithiidae,Bittium,latreillii,No,0,0,44,21,0,8,28,155
108,G018,Gastropoda,Pyramidellidae,Cingulina,isseli,Yes,69,11,117,1,0,0,0,0
109,G020,Gastropoda,Ringiculidae,Ringicula,auriculata,No,0,0,0,0,0,41,0,8
110,G021,Gastropoda,Pyramidellidae,Eulimella,acicula,No,0,0,0,0,0,0,0,1
111,G024,Gastropoda,Iravadiidae,Hyala,vitrea,No,0,0,0,0,0,1,0,0
112,G026,Gastropoda,Cerithiidae,Bittium,reticulatum,No,0,0,0,0,87,51,1,10
113,G027,Gastropoda,Pyramidellidae,Megastomia,conoidea,No,43,5,39,13,2,2,0,0
114,G029,Gastropoda,Retusidae,Cylichnina,crebrisculpta,No,1,0,33,14,6,0,0,4
115,G030,Gastropoda,Pyramidellidae,Folinella,excavata,No,0,0,0,0,0,1,0,1
116,G032,Gastropoda,Triphoridae,Metaxia,metaxa,No,0,0,0,0,0,0,0,2
117,G036,Gastropoda,Eulimidae,Eulima,glabra,No,0,0,0,0,0,3,0,0
118,G039,Gastropoda,Mangeliidae,Sorgenfreispira,brachystoma,No,0,0,0,0,0,1,0,0
119,G044,Gastropoda,Trochidae,Jujubinus,exasperatus,No,0,0,0,0,0,0,3,50
120,G045,Gastropoda,Acteonidae,Acteon,tornatilis,No,0,0,0,0,0,0,0,1
121,G046,Gastropoda,Rissoidae,Alvania,mamillata,No,0,0,0,0,0,7,3,26
122,G047,Gastropoda,Rissoinidae,Rissoina,bruguieri,No,0,0,0,0,0,0,1,15
